A,B,C
"Ru",(J/molK),8.314
"F",(A-s/e-mol),96485
"Ru",(J/molK),8.314
"F",(A-s/e-mol),96485
"n",(e-mol/O2-mol),2
"XO2",(O2/air mol),0.21
"",<undefined>,NaN
"Inputs",<undefined>,NaN
"Power - net",(kW),80
"Energy Total",(kWhr),128
"Energy Useable",(kWhr),100.176731573045
"delta SOC",(%),85
"Power - net, average",(kW),20
"",<undefined>,NaN
"P compressor/PSA",(kPa),300
"P battery",(kPa),300
"T amb",(C),20
"T battery",(C),30
"Stoich",<undefined>,1.5
"",<undefined>,NaN
"",<undefined>,NaN
"Parasitic Power - peak",(kW),7.72665967637124
"match",(kW),7.73
"Parasitic Power - average",(kW),1.72465368539094
"match",(kW),1.72
"",<undefined>,NaN
"Outputs (for other sections)",<undefined>,NaN
"Power - max gross",(kW),87.73
"Power - ave gross",(kW),21.72
"Energy - provided",(kWhr),108.8
"Energy - EC",(kWhr),136.623268426955
"",<undefined>,NaN
"Current Collectors",<undefined>,NaN
"Inputs",<undefined>,NaN
"(-) thickness",(um),8
"(+) thickness",(um),20
"",<undefined>,NaN
"Flow Field",<undefined>,NaN
"Inputs",<undefined>,NaN
"Iterate (1 = yes, 0 = reset)",<undefined>,1
"Target pressure drop",(kPa),30
"",<undefined>,NaN
"Aspect Ratio",(length/width),1
"Depth per layer (iterated)",(um) - 1/2 stamping depth or DM thickness,15.3100916333977
"   Depth per layer hold",<undefined>,15.3100916333977
"DM Darcy",(10^-12 m2),10
"DM Aerial weight",(g/m2),70
"DM cost",($/m2),20
"Flow Field type",(stamped or DM),NaN
"air viscosity",(Pa-s),1.8e-05
"",<undefined>,NaN
"calcs",<undefined>,NaN
"O2 in",(mol/s/footprint),1.1537808130014e-05
"O2 out",(mol/s/footprint),3.845936043338e-06
"N2",(mol/s/footprint),4.34041353462431e-05
"mol flow average",(mol/s/footprint),5.10960074329191e-05
"vol flow",(m3/s),4.29060327855263e-07
"Dh",(m),3.06201832667953e-05
"dP stamped",(kPa),29.9999999999998
"dP DM",(kPa),53.170521548755
"Total DM area",(m2),1297.19383978855
"W",(cm),22.2050229210169
"L",(cm),22.2050229210169
"Wcc/W",<undefined>,1.60490067974291
"",<undefined>,NaN
"Packaging",<undefined>,NaN
"Inputs",<undefined>,NaN
"Seal",(mm),6
"Current Collectors",(mm),12
"Tabs",(mm),15
"Pouch",(mm),0.1
"Air Headers (and gap)",(mm),50
"Coolant Headers (and gap)",(mm),20
"",<undefined>,NaN
"calcs",<undefined>,NaN
"layer thickness",(mm),0.112797595678127
"Total Volume Flow",(m3/s),0.011515425573408
"Density",(kg/m3),3.43450269972872
"Area",(cm2),30.2812786512724
"Header Velocity",(m/s),3.80282012065039
"Header Dynamic",(kPa),0.0248339288550313
"",<undefined>,NaN
"Air delivery manifold",(mm),3
"Header Dynamic",(kPa),0.513155385166115
"Ratio to Flow Field",(%),1.71051795055373
"",<undefined>,NaN
"W",(cm),24.2250229210169
"L",(cm),29.9250229210169
"H",(cm),281.542798812605
"",<undefined>,NaN
"Compressor",<undefined>,NaN
"Inputs",<undefined>,NaN
"Compressor efficiency",<undefined>,0.6
"cp (J/gK)",(J/gK),1.1
"gama",<undefined>,1.4
"",<undefined>,0.285714285714286
"calcs",<undefined>,NaN
"O2 max",(mol/s),0.287983690925205
"N2 max",(mol/s),1.08336721824244
"Flow max",(g/s),39.5497602203948
"Compressor max power",(kW),7.72665967637123
"O2 ave",(mol/s),0.0642803170696781
"N2 ave",(mol/s),0.24181643088117
"Flow ave",(g/s),8.82783021090246
"Compressor ave power",(kW),1.72465368539094
"Compressor ave energy 5 hours",(kWh),8.62326842695469
